"Descricao_do_cargo.emprego","Nome_orgao_de_origem","UF_da_UPAG_de_vinculacao","Cidade_da_residencia","Nivel_escolaridade","Ano_Mes_inicio_afastamento","Ano_Mes_referencia","Valor_rendimento_liquido","Descricao_do_afastamento","Ano_inicio_afastamento","Mes_inicio_afastamento","Rendimento_Liquido_Hora"
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-08-01,2021-08-01,21429.24,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",127.555
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-04-01,2021-08-01,9147.18,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","04",54.4475
"PROFESSOR TITULAR-LIVRE MAG SUPERIOR    ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-05-01,2021-08-01,23924.39,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","05",142.407083333333
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-08-01,2021-08-01,18750.84,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",111.612142857143
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-06-01,2021-08-01,12945.54,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","06",77.0567857142857
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL FLUMINENSE         ","RJ","RIO DE JANEIRO                ","NS",2021-03-01,2021-08-01,12258.12,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",72.965
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE JUIZ DE FORA    ","MG","JUIZ DE FORA                  ","NS",2021-07-01,2021-08-01,13977.89,"Afas. Viagem /Serv Fora do País Com Ônus Limitado - EST","2021","07",83.2017261904762
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE MINAS GERAIS    ","MG","BELO HORIZONTE                ","NS",2021-08-01,2021-08-01,17491.14,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",104.113928571429
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE MINAS GERAIS    ","MG","BELO HORIZONTE                ","NS",2021-05-01,2021-08-01,22316.48,"Afas. Part.Prog.Trein. (Congr) Fora  País C/Ônus Limit - EST","2021","05",132.83619047619
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-01-01,2021-08-01,26592.43,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",158.288273809524
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-03-01,2021-08-01,17402.11,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",103.583988095238
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-02-01,2021-08-01,18593.34,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",110.674642857143
"TECNOLOGO-FORMACAO                      ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-07-01,2021-08-01,9281.03,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","07",55.2442261904762
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-08-01,2021-08-01,17713.59,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",105.438035714286
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-04-01,2021-08-01,19239.38,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","04",114.520119047619
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-03-01,2021-08-01,13487,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",80.2797619047619
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-08-01,2021-08-01,15167.39,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",90.2820833333333
"TECNOLOGO-FORMACAO                      ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","NOVA IGUACU                   ","NS",2021-07-01,2021-08-01,11542.66,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","07",68.7063095238095
"TECNOLOGO-FORMACAO                      ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-07-01,2021-08-01,10069.13,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","07",59.9352976190476
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-08-01,2021-08-01,12368.85,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",73.6241071428571
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-07-01,2021-08-01,18593.34,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","07",110.674642857143
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-06-01,2021-08-01,14298.88,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","06",85.1123809523809
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-08-01,2021-08-01,19555.67,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",116.402797619048
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIV. FEDERAL RURAL DO RIO DE JANEIRO   ","RJ","RIO DE JANEIRO                ","NS",2021-08-01,2021-08-01,3554.61,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",21.1583928571429
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIV. FEDERAL RURAL DO RIO DE JANEIRO   ","RJ","NITEROI                       ","NS",2021-08-01,2021-08-01,18231.65,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",108.521726190476
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIV. FEDERAL RURAL DO RIO DE JANEIRO   ","RJ","VOLTA REDONDA                 ","NS",2021-07-01,2021-08-01,18712.66,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","07",111.384880952381
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIV. FEDERAL RURAL DO RIO DE JANEIRO   ","RJ","ANGRA DOS REIS                ","NS",2021-01-01,2021-08-01,9263.14,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",55.1377380952381
"BIBLIOTECARIO-DOCUMENTALISTA            ","UNIV. FEDERAL RURAL DO RIO DE JANEIRO   ","RJ","NOVA IGUACU                   ","NS",2021-03-01,2021-08-01,7587.42,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",45.1632142857143
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIV. FEDERAL RURAL DO RIO DE JANEIRO   ","RJ","RIO DE JANEIRO                ","NS",2021-07-01,2021-08-01,8013.46,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","07",47.6991666666667
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIV. FEDERAL RURAL DO RIO DE JANEIRO   ","RJ","RIO DE JANEIRO                ","NS",2021-06-01,2021-08-01,10159.75,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","06",60.4747023809524
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIV. FEDERAL RURAL DO RIO DE JANEIRO   ","RJ","VASSOURAS                     ","NS",2021-05-01,2021-08-01,19624.08,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","05",116.81
